technical_skills,soft_skills,education,experience,career_interest,career
python machine learning data analysis numpy pandas,analytical problem solving teamwork,btech computer science,internship projects,ai data science,Data Scientist
python scikit-learn data mining statistics visualization,analytical critical thinking research,mtech data science,2 years data analysis,ai data science,Data Scientist
r python tableau data wrangling feature engineering,analytical detail oriented teamwork,msc statistics,1 year analytics,data science analytics,Data Scientist
python spark hadoop big data sql machine learning,analytical problem solving communication,btech computer science,3 years big data,data engineering,Data Scientist
tensorflow keras deep learning nlp data analysis,research analytical problem solving,mtech ai,research internship,machine learning ai,Data Scientist
python flask web development html css javascript,communication teamwork creativity,btech computer science,2 years web development,software development,Software Engineer
java spring boot rest api microservices,problem solving leadership teamwork,btech information technology,3 years java,software development,Software Engineer
c++ algorithms data structures system design,analytical problem solving attention to detail,btech computer science,2 years software,software engineering,Software Engineer
python javascript docker git agile development,communication teamwork problem solving,btech computer science,intern projects,software development,Software Engineer
golang python backend rest api testing,analytical teamwork communication,btech computer science,2 years backend,software development,Software Engineer
react javascript html css nodejs typescript,creativity communication teamwork,btech computer science,2 years frontend,web development,Frontend Developer
vue angular html css javascript responsive design,creativity problem solving teamwork,btech computer science,2 years frontend,web frontend,Frontend Developer
javascript html css bootstrap figma frontend testing,creativity communication detail oriented,bsc it,1 year frontend,web design development,Frontend Developer
react native html css js ui components,creativity teamwork communication,btech computer science,intern 1 year,frontend development,Frontend Developer
nextjs react tailwind css javascript,creativity problem solving teamwork,btech computer science,2 years web,frontend software,Frontend Developer
python tensorflow keras deep learning computer vision nlp,analytical research problem solving,mtech ai,research projects,ai machine learning,AI/ML Engineer
pytorch machine learning transformers bert model training,research analytical problem solving,mtech ai ml,phd research,deep learning ai,AI/ML Engineer
python sklearn xgboost model deployment mlops,analytical problem solving teamwork,btech computer science,2 years ml,machine learning engineering,AI/ML Engineer
machine learning python feature engineering hyperparameter tuning,analytical detail oriented research,msc data science,intern research,ml ai,AI/ML Engineer
deep learning cnn rnn lstm python tensorflow,research analytical problem solving,mtech computer science,research internship,ai deep learning,AI/ML Engineer
aws cloud computing docker kubernetes terraform,problem solving teamwork communication,btech computer science,3 years cloud,cloud computing,Cloud Engineer
